Freq.	V(feedb)/V(inv)
1.00000000000000e+002	(1.18095910121793e+002dB,5.09815498759121e+000°)
1.00115195553817e+002	(1.18076338248362e+002dB,5.09253123718982e+000°)
1.00230523807790e+002	(1.18056765402925e+002dB,5.08691316662518e+000°)
1.00345984914784e+002	(1.18037191597289e+002dB,5.08130077795331e+000°)
1.00461579027840e+002	(1.18017616833609e+002dB,5.07569406906579e+000°)
1.00577306300174e+002	(1.17998041101945e+002dB,5.07009302615323e+000°)
1.00693166885180e+002	(1.17978464413267e+002dB,5.06449765257803e+000°)
1.00809160936430e+002	(1.17958886764293e+002dB,5.05890793896960e+000°)
1.00925288607668e+002	(1.17939308175782e+002dB,5.05332389327078e+000°)
1.01041550052821e+002	(1.17919728626254e+002dB,5.04774549660704e+000°)
1.01157945425990e+002	(1.17900148116277e+002dB,5.04217274671798e+000°)
1.01274474881453e+002	(1.17880566673663e+002dB,5.03660565494472e+000°)
1.01391138573668e+002	(1.17860984277280e+002dB,5.03104419909523e+000°)
1.01507936657269e+002	(1.17841400934870e+002dB,5.02548838436281e+000°)
1.01624869287070e+002	(1.17821816660060e+002dB,5.01993820881203e+000°)
1.01741936618061e+002	(1.17802231432918e+002dB,5.01439365962606e+000°)
1.01859138805412e+002	(1.17782645277020e+002dB,5.00885474490296e+000°)
1.01976476004472e+002	(1.17763058186619e+002dB,5.00332144891850e+000°)
1.02093948370768e+002	(1.17743470150502e+002dB,4.99779377101200e+000°)
1.02211556060007e+002	(1.17723881198347e+002dB,4.99227171435645e+000°)
1.02329299228076e+002	(1.17704291305905e+002dB,4.98675526860368e+000°)
1.02447178031038e+002	(1.17684700491452e+002dB,4.98124442727774e+000°)
1.02565192625141e+002	(1.17665108742685e+002dB,4.97573919176679e+000°)
1.02683343166809e+002	(1.17645516076434e+002dB,4.97023955422906e+000°)
1.02801629812648e+002	(1.17625922483674e+002dB,4.96474551620888e+000°)
1.02920052719443e+002	(1.17606327973641e+002dB,4.95925706301197e+000°)
1.03038612044162e+002	(1.17586732547106e+002dB,4.95377420704081e+000°)
1.03157307943951e+002	(1.17567136203268e+002dB,4.94829692850277e+000°)
1.03276140576140e+002	(1.17547538942823e+002dB,4.94282523019116e+000°)
1.03395110098237e+002	(1.17527940776983e+002dB,4.93735911102344e+000°)
1.03514216667935e+002	(1.17508341689724e+002dB,4.93189855825898e+000°)
1.03633460443104e+002	(1.17488741703606e+002dB,4.92644357611062e+000°)
1.03752841581801e+002	(1.17469140812729e+002dB,4.92099415925020e+000°)
1.03872360242262e+002	(1.17449539006752e+002dB,4.91555029696739e+000°)
1.03992016582906e+002	(1.17429936315190e+002dB,4.91011199943078e+000°)
1.04111810762334e+002	(1.17410332709496e+002dB,4.90467924526550e+000°)
1.04231742939331e+002	(1.17390728209663e+002dB,4.89925203927908e+000°)
1.04351813272863e+002	(1.17371122815848e+002dB,4.89383037748603e+000°)
1.04472021922080e+002	(1.17351516527038e+002dB,4.88841425954365e+000°)
1.04592369046317e+002	(1.17331909336921e+002dB,4.88300367037288e+000°)
1.04712854805090e+002	(1.17312301260231e+002dB,4.87759861379941e+000°)
1.04833479358100e+002	(1.17292692298477e+002dB,4.87219908759110e+000°)
1.04954242865233e+002	(1.17273082449015e+002dB,4.86680508420385e+000°)
1.05075145486555e+002	(1.17253471718905e+002dB,4.86141659831328e+000°)
1.05196187382323e+002	(1.17233860095077e+002dB,4.85603362883579e+000°)
1.05317368712972e+002	(1.17214247603022e+002dB,4.85065617093750e+000°)
1.05438689639126e+002	(1.17194634222810e+002dB,4.84528421710449e+000°)
1.05560150321593e+002	(1.17175019962072e+002dB,4.83991776563383e+000°)
1.05681750921366e+002	(1.17155404829985e+002dB,4.83455681698268e+000°)
1.05803491599623e+002	(1.17135788827823e+002dB,4.82920135922864e+000°)
1.05925372517729e+002	(1.17116171946452e+002dB,4.82385139296335e+000°)
1.06047393837234e+002	(1.17096554202676e+002dB,4.81850691611110e+000°)
1.06169555719873e+002	(1.17076935588199e+002dB,4.81316792139374e+000°)
1.06291858327569e+002	(1.17057316106260e+002dB,4.80783439852452e+000°)
1.06414301822432e+002	(1.17037695762551e+002dB,4.80250635646438e+000°)
1.06536886366757e+002	(1.17018074550352e+002dB,4.79718378345773e+000°)
1.06659612123026e+002	(1.16998452480595e+002dB,4.79186667520139e+000°)
1.06782479253910e+002	(1.16978829557387e+002dB,4.78655503276122e+000°)
1.06905487922266e+002	(1.16959205777864e+002dB,4.78124884606649e+000°)
1.07028638291139e+002	(1.16939581136614e+002dB,4.77594811224872e+000°)
1.07151930523761e+002	(1.16919955641412e+002dB,4.77065282511428e+000°)
1.07275364783553e+002	(1.16900329298975e+002dB,4.76536298934192e+000°)
1.07398941234125e+002	(1.16880702106129e+002dB,4.76007859435191e+000°)
1.07522660039273e+002	(1.16861074069703e+002dB,4.75479963590652e+000°)
1.07646521362984e+002	(1.16841445189018e+002dB,4.74952611338794e+000°)
1.07770525369433e+002	(1.16821815457746e+002dB,4.74425801449770e+000°)
1.07894672222983e+002	(1.16802184881387e+002dB,4.73899534290335e+000°)
1.08018962088190e+002	(1.16782553474399e+002dB,4.73373809513337e+000°)
1.08143395129794e+002	(1.16762921219540e+002dB,4.72848625943602e+000°)
1.08267971512730e+002	(1.16743288136133e+002dB,4.72323983988810e+000°)
1.08392691402121e+002	(1.16723654209687e+002dB,4.71799882844608e+000°)
1.08517554963279e+002	(1.16704019455730e+002dB,4.71276322148505e+000°)
1.08642562361707e+002	(1.16684383870353e+002dB,4.70753301551740e+000°)
1.08767713763100e+002	(1.16664747457310e+002dB,4.70230820634224e+000°)
1.08893009333344e+002	(1.16645110207521e+002dB,4.69708878547866e+000°)
1.09018449238513e+002	(1.16625472137078e+002dB,4.69187475466300e+000°)
1.09144033644876e+002	(1.16605833238916e+002dB,4.68666610606608e+000°)
1.09269762718892e+002	(1.16586193529108e+002dB,4.68146284355430e+000°)
1.09395636627210e+002	(1.16566552987005e+002dB,4.67626494982453e+000°)
1.09521655536674e+002	(1.16546911637251e+002dB,4.67107243108520e+000°)
1.09647819614319e+002	(1.16527269459925e+002dB,4.66588528065601e+000°)
1.09774129027372e+002	(1.16507626466662e+002dB,4.66070349094223e+000°)
1.09900583943253e+002	(1.16487982667934e+002dB,4.65552705931432e+000°)
1.10027184529574e+002	(1.16468338050215e+002dB,4.65035598336283e+000°)
1.10153930954142e+002	(1.16448692633178e+002dB,4.64519026232734e+000°)
1.10280823384956e+002	(1.16429046396049e+002dB,4.64002988212810e+000°)
1.10407861990208e+002	(1.16409399355524e+002dB,4.63487484861629e+000°)
1.10535046938285e+002	(1.16389751513498e+002dB,4.62972515103930e+000°)
1.10662378397767e+002	(1.16370102869036e+002dB,4.62458078870810e+000°)
1.10789856537430e+002	(1.16350453418983e+002dB,4.61944175796997e+000°)
1.10917481526241e+002	(1.16330803171519e+002dB,4.61430804913784e+000°)
1.11045253533365e+002	(1.16311152126040e+002dB,4.60917966488320e+000°)
1.11173172728160e+002	(1.16291500284266e+002dB,4.60405659688640e+000°)
1.11301239280180e+002	(1.16271847644287e+002dB,4.59893884074028e+000°)
1.11429453359174e+002	(1.16252194219055e+002dB,4.59382639722882e+000°)
1.11557815135086e+002	(1.16232539999426e+002dB,4.58871925744788e+000°)
1.11686324778057e+002	(1.16212884986031e+002dB,4.58361741889653e+000°)
1.11814982458423e+002	(1.16193229193745e+002dB,4.57852087586173e+000°)
1.11943788346716e+002	(1.16173572604575e+002dB,4.57342962392268e+000°)
1.12072742613665e+002	(1.16153915239964e+002dB,4.56834366581319e+000°)
1.12201845430197e+002	(1.16134257087378e+002dB,4.56326298889878e+000°)
1.12331096967433e+002	(1.16114598161184e+002dB,4.55818759349644e+000°)
1.12460497396693e+002	(1.16094938446999e+002dB,4.55311747059267e+000°)
1.12590046889495e+002	(1.16075277962531e+002dB,4.54805262152002e+000°)
1.12719745617552e+002	(1.16055616699200e+002dB,4.54299304183886e+000°)
1.12849593752777e+002	(1.16035954661778e+002dB,4.53793872142126e+000°)
1.12979591467281e+002	(1.16016291854254e+002dB,4.53288966356827e+000°)
1.13109738933371e+002	(1.15996628266998e+002dB,4.52784585929000e+000°)
1.13240036323557e+002	(1.15976963915606e+002dB,4.52280730530021e+000°)
1.13370483810542e+002	(1.15957298799312e+002dB,4.51777399864488e+000°)
1.13501081567232e+002	(1.15937632917757e+002dB,4.51274593447993e+000°)
1.13631829766732e+002	(1.15917966269262e+002dB,4.50772310745666e+000°)
1.13762728582344e+002	(1.15898298864786e+002dB,4.50270551718416e+000°)
1.13893778187572e+002	(1.15878630689007e+002dB,4.49769315391121e+000°)
1.14024978756118e+002	(1.15858961763656e+002dB,4.49268601835096e+000°)
1.14156330461885e+002	(1.15839292073698e+002dB,4.48768410463754e+000°)
1.14287833478978e+002	(1.15819621631827e+002dB,4.48268740580827e+000°)
1.14419487981699e+002	(1.15799950431163e+002dB,4.47769592246164e+000°)
1.14551294144554e+002	(1.15780278486335e+002dB,4.47270964938687e+000°)
1.14683252142249e+002	(1.15760605780084e+002dB,4.46772857675034e+000°)
1.14815362149689e+002	(1.15740932329108e+002dB,4.46275270652194e+000°)
1.14947624341984e+002	(1.15721258128515e+002dB,4.45778203421482e+000°)
1.15080038894444e+002	(1.15701583181038e+002dB,4.45281655056517e+000°)
1.15212605982582e+002	(1.15681907492771e+002dB,4.44785625795769e+000°)
1.15345325782110e+002	(1.15662231058534e+002dB,4.44290114937323e+000°)
1.15478198468947e+002	(1.15642553884078e+002dB,4.43795121976852e+000°)
1.15611224219211e+002	(1.15622875972246e+002dB,4.43300646574120e+000°)
1.15744403209225e+002	(1.15603197317956e+002dB,4.42806688283282e+000°)
1.15877735615514e+002	(1.15583517927913e+002dB,4.42313246794794e+000°)
1.16011221614806e+002	(1.15563837808077e+002dB,4.41820321554095e+000°)
1.16144861384035e+002	(1.15544156950660e+002dB,4.41327912075276e+000°)
