Freq.	V(feedb)/V(inv)
1.00000000000000e+002	(1.19504620537027e+002dB,4.06133056927027e+000°)
1.00115195553817e+002	(1.19485124810829e+002dB,4.05686291841981e+000°)
1.00230523807790e+002	(1.19465627962738e+002dB,4.05239962330560e+000°)
1.00345984914784e+002	(1.19446129977399e+002dB,4.04794067104128e+000°)
1.00461579027840e+002	(1.19426630861114e+002dB,4.04348606539155e+000°)
1.00577306300174e+002	(1.19407130615111e+002dB,4.03903579574290e+000°)
1.00693166885180e+002	(1.19387629261963e+002dB,4.03458987765351e+000°)
1.00809160936430e+002	(1.19368126773735e+002dB,4.03014828274445e+000°)
1.00925288607668e+002	(1.19348623171726e+002dB,4.02571102418619e+000°)
1.01041550052821e+002	(1.19329118449233e+002dB,4.02127810113133e+000°)
1.01157945425990e+002	(1.19309612616702e+002dB,4.01684950197751e+000°)
1.01274474881453e+002	(1.19290105669143e+002dB,4.01242523301876e+000°)
1.01391138573668e+002	(1.19270597621253e+002dB,4.00800528859112e+000°)
1.01507936657269e+002	(1.19251088456927e+002dB,4.00358965952584e+000°)
1.01624869287070e+002	(1.19231578192952e+002dB,3.99917835101387e+000°)
1.01741936618061e+002	(1.19212066815344e+002dB,3.99477135741380e+000°)
1.01859138805412e+002	(1.19192554350827e+002dB,3.99036867936381e+000°)
1.01976476004472e+002	(1.19173040793261e+002dB,3.98597031445659e+000°)
1.02093948370768e+002	(1.19153526127026e+002dB,3.98157625061774e+000°)
1.02211556060007e+002	(1.19134010371362e+002dB,3.97718649443842e+000°)
1.02329299228076e+002	(1.19114493531041e+002dB,3.97280104366702e+000°)
1.02447178031038e+002	(1.19094975600034e+002dB,3.96841989011504e+000°)
1.02565192625141e+002	(1.19075456577373e+002dB,3.96404302804412e+000°)
1.02683343166809e+002	(1.19055936473451e+002dB,3.95967046942921e+000°)
1.02801629812648e+002	(1.19036415299312e+002dB,3.95530220142976e+000°)
1.02920052719443e+002	(1.19016893030039e+002dB,3.95093822099151e+000°)
1.03038612044162e+002	(1.18997369694450e+002dB,3.94657852677323e+000°)
1.03157307943951e+002	(1.18977845288304e+002dB,3.94222311805176e+000°)
1.03276140576140e+002	(1.18958319805452e+002dB,3.93787198988609e+000°)
1.03395110098237e+002	(1.18938793249415e+002dB,3.93352513761434e+000°)
1.03514216667935e+002	(1.18919265624306e+002dB,3.92918256262076e+000°)
1.03633460443104e+002	(1.18899736943256e+002dB,3.92484426102487e+000°)
1.03752841581801e+002	(1.18880207199011e+002dB,3.92051023313398e+000°)
1.03872360242262e+002	(1.18860676394611e+002dB,3.91618047393382e+000°)
1.03992016582906e+002	(1.18841144530510e+002dB,3.91185497852074e+000°)
1.04111810762334e+002	(1.18821611605116e+002dB,3.90753374264491e+000°)
1.04231742939331e+002	(1.18802077623199e+002dB,3.90321676387774e+000°)
1.04351813272863e+002	(1.18782542604438e+002dB,3.89890404882516e+000°)
1.04472021922080e+002	(1.18763006533147e+002dB,3.89459558815862e+000°)
1.04592369046317e+002	(1.18743469405154e+002dB,3.89029137701626e+000°)
1.04712854805090e+002	(1.18723931243713e+002dB,3.88599141555798e+000°)
1.04833479358100e+002	(1.18704392038778e+002dB,3.88169569900390e+000°)
1.04954242865233e+002	(1.18684851784081e+002dB,3.87740422713885e+000°)
1.05075145486555e+002	(1.18665310506090e+002dB,3.87311699693482e+000°)
